ATT_ID,ATT_NAME_TH,ATT_NAME_EN,ATT_DETAIL_TH,ATT_DETAIL_EN,ATT_NEARBY_LOCATION,ATT_CATEGORY,ATT_TYPE,ATT_ADDRESS,ATT_ADDRESS_ALLEY,ATT_ADDRESS_ROAD,ATT_PROVINCE_ID,ATT_DISTRICT_ID,ATT_SUBDISTRICT_ID,ATT_REGION_ID,ATT_POSTCODE,ATT_TEL,ATT_EMAIL,ATT_START_END,ATT_FEE_TH,ATT_FEE_TH_KID,ATT_FEE_EN,ATT_FEE_EN_KID,ATT_ACTIVITY,ATT_HILIGHT,ATT_REWARD,ATT_SUITABLE_DURATION,ATT_MARKET_LIMITATION,ATT_MARKET_CHANCE,ATT_RULE,ATT_ACCESSIBILITY,ATT_LOCATION,ATT_FACILITIES_CONTACT,ATT_TRAVELER_PRE,ATT_WEBSITE,ATT_FACEBOOK,ATT_INSTAGRAM,ATT_TIKTOK,ATT_YOUTUBE,ATT_CREDIT,ATT_CASH,ATT_PAYMENT,ATT_REMARK,ATT_BOOKING_DETAIL,ATT_CREATED_BY,ATT_CREATED_DATE,ATT_UPDATED_BY,ATT_UPDATED_DATE,ATT_LINE,STATUS_DATA,ATT_STATUS,ATT_STATUS_REMARK,ATT_ACCESSIBILITY_OTHER,STAR_LEVEL,STAR_TYPE,STAR_DATE_START,STAR_DATE_END,SHA_LEVEL,SHA_TYPE,SHA_CODE,CF_HOTEL,REGION_NAME_TH,PROVINCE_NAME_TH,DISTRICT_NAME_TH,SUBDISTRICT_NAME_TH,ATT_CATEGORY_LABEL,ATT_TYPE_LABEL,STAR_TYPE_LABEL,SHA_LEVEL_LABEL,SHA_TYPE_LABEL,TTA_DATA
20260209152844001,เมืองเก่าย่านตาขาว,,,,,2,37,,,,1015,576,9637.0,1007,92140,เทศบาลตำบลย่านตาขาว โทร. 075-281430,,เปิดบริการทุกวัน ตลอด 24 ชั่วโมง,,,,,,,,,,,,,"7.376891000000001, 99.6734393",,,,,,,,,,,,,pachara.paka@tat.or.th,2/9/2026,pachara.paka@tat.or.th,2/9/2026,,1,1,,,,,,,,,,,ภาคใต้,ตรัง,ย่านตาขาว,ย่านตาขาว,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,ศูนย์ศึกษาประวัติศาสตร์,,,,
20260209152231001,Forest of Play Trang,,,,,3,66,,,,1015,576,9642.0,1007,92140,090-8997570,,"กลุ่มทัศนศึกษา เปิดบริการ ทุกวันอังคาร - ศุกร์ ตั้งแต่เวลา 08.00 น. - 16.00 น.
กลุ่มบุคคลทั่วไป เปิดบริการ ช่วงปิดเทอม (เมษายน-พฤษภาคม และตุลาคม) ตั้งแต่เวลา 08.00 น. - 16.00 น.
",,,,,,,,,,,,,"7.443916799999999, 99.64129679999999",,,,,,,,,,,,,pachara.paka@tat.or.th,2/9/2026,pachara.paka@tat.or.th,2/9/2026,,1,1,,,,,,,,,,,ภาคใต้,ตรัง,ย่านตาขาว,ทุ่งกระบือ,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,สวนสาธารณะ/สวนหย่อม,,,,
20260209151127001,น้ำตกสายรุ้ง,,,,,1,9,,,,1015,576,9639.0,1007,92140,-,,เปิดบริการทุกวัน ตั้งแต่เวลา 07.00 น. - 17.00 น.,,,,,,,,,,,,,"7.442286299999999, 99.8077725",,,,,,,,,,,,,pachara.paka@tat.or.th,2/9/2026,pachara.paka@tat.or.th,2/9/2026,,1,1,,,,,,,,,,,ภาคใต้,ตรัง,ย่านตาขาว,นาชุมเห็ด,แหล่งท่องเที่ยวทางธรรมชาติ,น้ำตก,,,,
20260209144621001,เมืองเก่าสตูล,Satun Old Town,ย่านเมืองเก่าสตูลเป็นพื้นที่ที่มีความหลากหลายทางวัฒนธรรมของกลุ่มชาติพันธุ์ที่ตั้งถิ่นฐานอาศัยในพื้นที่เมืองสตูลมาแต่ครั้งอดีต เป็นแหล่งประวัติศาสตร์ที่มีอาคารชิโนโปรตุกีสผสมผสานสถาปัตยกรรมยุโรปอายุกว่า 100 ปี แสดงถึงความรุ่งเรืองในอดีต ผสมผสานวัฒนธรรมไทย จีน และมลายู มีถนนบุรีวานิช (ย่านเมืองเก่า) ที่ถือเป็นถนนสายแรกของเมืองที่ชี้ให้เห็นร่องรอยของความเจริญในอดีต,,ตั้งอยู่บริเวณถนนบุรีวานิช เป็นย่านเมืองเก่าในจังหวัดสตูล,2,32,,,,1058,568,9533.0,1007,91000,0625957748,,เปิดบริการตลอด 24 ชั่วโมงต่อวัน 7 วันต่อสัปดาห์ ,,,,,,,,,,,,,"6.613603691140582, 100.06622314453125",,,,,,,,,,,,,suwimon.rasa@tat.or.th,2/9/2026,suwimon.rasa@tat.or.th,2/9/2026,,1,1,,,,,,,,,,,ภาคใต้,สตูล,เมืองสตูล,พิมาน,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,ชุมชนโบราณ/โบราณสถาน/โบราณวัตถุ,,,,
20260209101920001,พระธาตุจุฬามณีฉัพพรรณรังษีเจดีย์แก้ว,,,,,2,36,,,,1015,480,9683.0,1007,92170,-,,เปิดบริการทุกวัน ตั้งแต่เวลา 05.30 น. - 18.00 น.,,,,,,,,,,,,,"7.568878799999999, 99.73243529999999",,,,,,,,,,,,,pachara.paka@tat.or.th,2/9/2026,pachara.paka@tat.or.th,2/9/2026,,1,1,,,,,,,,,,,ภาคใต้,ตรัง,นาโยง,ละมอ,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,ศาสนสถาน (วัด/โบสถ์/มัสยิด ฯลฯ),,,,
20260206141353001,วิสาหกิจชุมชนท่องเที่ยวบ้านไร่หยงสตาร์,,,,,3,65,,,,1015,379,9647.0,1007,92120,081-9385909,,เปิดบริการทุกวัน ตั้งแต่เวลา 08.00 น. -  18.00 น.,,,,,,,,,,,,,"7.132714092179544, 99.68631505966187",,,,,,,,,,,,,pachara.paka@tat.or.th,2/6/2026,pachara.paka@tat.or.th,2/6/2026,,1,1,,,,,,,,,,,ภาคใต้,ตรัง,ปะเหลียน,ปะเหลียน,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,ไร่/สวนเกษตร (ฟาร์มสัตว์/ประมง),,,,
20260206140740001,น้ำตกหนานสะตอ,,,,,1,9,,,,1015,379,9647.0,1007,92180,-,,เปิดบริการทุกวัน ตั้งแต่เวลา 07.00 น. - 17.00 น.,,,,,,,,,,,,,"7.326041999999999, 99.8548118",,,,,,,,,,,,,pachara.paka@tat.or.th,2/6/2026,pachara.paka@tat.or.th,2/6/2026,,1,1,,,,,,,,,,,ภาคใต้,ตรัง,ปะเหลียน,ปะเหลียน,แหล่งท่องเที่ยวทางธรรมชาติ,น้ำตก,,,,
20260205155633001,หาดกะหลิม ,Kalim Beach,,,,1,19,,,ถนนหน้าหาด,1041,605,8969.0,1007,,-,,"ทุกวัน 24 ชั่วโมง

",0.0,0.0,0.0,0.0,,,,,,,,,"7.9123375, 98.29442189999999",,,,,,,,,,,,,tatphuket@tat.or.th,2/5/2026,tatphuket@tat.or.th,2/5/2026,,1,1,,,,,,,,,,,ภาคใต้,ภูเก็ต,กะทู้,กะทู้,แหล่งท่องเที่ยวทางธรรมชาติ,อ่าว/หาดทราย/ชายทะเล,,,,
20260205155246001,สวนเสือ ไทเกอร์ คิงดอม ,Tiger Kingdom - Phuket,,,	,3,67,118/88 ,,,1041,605,8969.0,1007,83120,076323311	,,9:00–17:30	,1800.0,,1800.0,,,,,,,,,,"7.907062499999999, 98.3300625",,,,,,,,,,,,,tatphuket@tat.or.th,2/5/2026,tatphuket@tat.or.th,2/5/2026,,1,1,,,,,,,,,,,ภาคใต้,ภูเก็ต,กะทู้,กะทู้,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,สวนสัตว์/ศูนย์ฝึกสัตว์/พิพิธภัณฑ์สัตว์,,,,
20260205155031001,สวนเสือ กะทู้ ภูเก็ต,Tiger Park Kathu Phuket,,,,3,67,46/487,,,1041,605,8969.0,1007,83120,076 604 484	,,9:00–18:00,2000.0,,2000.0,,,,,,,,,,"7.8949694, 98.3544922",,,,,,,,,,,,,tatphuket@tat.or.th,2/5/2026,tatphuket@tat.or.th,2/5/2026,,1,1,,,,,,,,,,,ภาคใต้,ภูเก็ต,กะทู้,กะทู้,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,สวนสัตว์/ศูนย์ฝึกสัตว์/พิพิธภัณฑ์สัตว์,,,,
